title,url,time_published,summary,source,ticker,sentiment_score,collected_at,combined_text,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_label,date
Jefferies Flags App Store and Google Ad Risks for Apple (AAPL),https://finviz.com/news/288737/jefferies-flags-app-store-and-google-ad-risks-for-apple-aapl,2026-01-27 17:30:11,"Jefferies analyst Edison Lee lowered Apple's (AAPL) price target to $276.47, maintaining a Hold rating, due to concerns over slowing App Store growth and Google ad revenue risks. The firm noted a significant slowdown in App Store revenue growth and anticipates only a slight beat in Apple's upcoming results, keeping fiscal year 2026 and 2027 estimates in line with consensus. Despite Apple's potential, Jefferies suggests the stock will likely be range-bound given its PEG ratio of 2.4x.",Finviz,AAPL,-0.9290518201887608,2026-01-27 20:04:56.545343,"Jefferies Flags App Store and Google Ad Risks for Apple (AAPL) Jefferies analyst Edison Lee lowered Apple's (AAPL) price target to $276.47, maintaining a Hold rating, due to concerns over slowing App Store growth and Google ad revenue risks. The firm noted a significant slowdown in App Store revenue growth and anticipates only a slight beat in Apple's upcoming results, keeping fiscal year 2026 and 2027 estimates in line with consensus. Despite Apple's potential, Jefferies suggests the stock will likely be range-bound given its PEG ratio of 2.4x.",0.020852919667959213,0.94990473985672,0.029242323711514473,negative,2026-01-27
"Apple sued for allegedly breaking US antitrust law, stealing camera tech",https://www.reuters.com/legal/transactional/apple-sued-allegedly-breaking-us-antitrust-law-stealing-camera-tech-2026-01-27/,2026-01-27 17:27:01,"Reincubate Ltd, makers of the smartphone video app Camo, has sued Apple for allegedly stealing its patented technology and maintaining an illegal monopoly in the U.S. smartphone software market. The lawsuit claims Apple copied Camo's features into its iOS ""Continuity Camera"" after actively encouraging Reincubate's development, thereby stifling competition. This action follows a similar antitrust lawsuit filed by the U.S. government against Apple in 2024.",Reuters,AAPL,-0.7673333268612623,2026-01-27 20:04:56.545351,"Apple sued for allegedly breaking US antitrust law, stealing camera tech Reincubate Ltd, makers of the smartphone video app Camo, has sued Apple for allegedly stealing its patented technology and maintaining an illegal monopoly in the U.S. smartphone software market. The lawsuit claims Apple copied Camo's features into its iOS ""Continuity Camera"" after actively encouraging Reincubate's development, thereby stifling competition. This action follows a similar antitrust lawsuit filed by the U.S. government against Apple in 2024.",0.029968442395329475,0.7973017692565918,0.17272980511188507,negative,2026-01-27
Ies Holdings stock reaches all-time high at 482.4 USD,https://www.investing.com/news/company-news/ies-holdings-stock-reaches-alltime-high-at-4824-usd-93CH-4467870,2026-01-27 15:58:35,"IES Holdings Inc. (IESC) stock has reached a new all-time high of $482.4, reflecting a 117.77% increase over the past year and a 30.91% gain in the last six months. This surge is supported by the company's strong financial performance, with revenue of $3.37 billion and 16.89% growth, along with recent impressive Q4 fiscal 2025 results and the acquisition of Gulf Island Fabrication, Inc. Despite the strong performance, InvestingPro analysis suggests the stock may be overvalued compared to its Fair Value.",Investing.com,AAPL,0.910574059933424,2026-01-27 20:04:56.545354,"Ies Holdings stock reaches all-time high at 482.4 USD IES Holdings Inc. (IESC) stock has reached a new all-time high of $482.4, reflecting a 117.77% increase over the past year and a 30.91% gain in the last six months. This surge is supported by the company's strong financial performance, with revenue of $3.37 billion and 16.89% growth, along with recent impressive Q4 fiscal 2025 results and the acquisition of Gulf Island Fabrication, Inc. Despite the strong performance, InvestingPro analysis suggests the stock may be overvalued compared to its Fair Value.",0.9465569257736206,0.03598286584019661,0.017460204660892487,positive,2026-01-27
Corning Stock Jumps on $6 Billion Deal With Meta. The Glass Maker Is an AI Darling.,https://www.barrons.com/articles/corning-stock-meta-glass-deal-ai-59b30615?gaa_at=eafs&gaa_n=AWEtsqdb-LIZcbW2h-cmePWsGiYt8-nIyOMzKOE_NR9Fjp7KIVQ8RH40s6An&gaa_ts=6978e344&gaa_sig=-DEpcQHUq8AeIT_NYUvSHINtcLrhYDeZikgtfYV1A10Ms15SKI5HvSltDxOaDCFVL2Ksgpt49_TZQI7HcUOPYw%3D%3D,2026-01-27 15:40:43,Corning's stock saw a significant increase following the announcement of a multiyear agreement valued at up to $6 billion with Meta Platforms. This deal focuses on Corning's role in helping Meta construct data centers. The article highlights Corning's growing importance in the AI sector due to such partnerships.,Barron's,AAPL,0.9213695796206594,2026-01-27 20:04:56.545355,Corning Stock Jumps on $6 Billion Deal With Meta. The Glass Maker Is an AI Darling. Corning's stock saw a significant increase following the announcement of a multiyear agreement valued at up to $6 billion with Meta Platforms. This deal focuses on Corning's role in helping Meta construct data centers. The article highlights Corning's growing importance in the AI sector due to such partnerships.,0.9312403798103333,0.0098708001896739,0.05888885259628296,positive,2026-01-27
A Congress Member Bought Up To $240K In Exxon Mobil Stock: Here's What You Need To Know,https://www.benzinga.com/insights/government/26/01/50158327/a-congress-member-bought-up-to-240k-in-exxon-mobil-stock-heres-what-you-need-to-know,2026-01-27 15:03:13,"Senator Katie Britt recently purchased Exxon Mobil stock valued between $16,016 and $240,000, with the transaction recorded on January 26, 2026. This adds to her significant trading activity over the past three years, which also includes transactions in NVIDIA, Apple, and Alphabet stocks. The article highlights the importance of congressional transactions as a potential indicator for investors, emphasizing that while they shouldn't be the sole basis for investment decisions, they can offer valuable insights.",Benzinga,AAPL,0.14212529174983501,2026-01-27 20:04:56.545357,"A Congress Member Bought Up To $240K In Exxon Mobil Stock: Here's What You Need To Know Senator Katie Britt recently purchased Exxon Mobil stock valued between $16,016 and $240,000, with the transaction recorded on January 26, 2026. This adds to her significant trading activity over the past three years, which also includes transactions in NVIDIA, Apple, and Alphabet stocks. The article highlights the importance of congressional transactions as a potential indicator for investors, emphasizing that while they shouldn't be the sole basis for investment decisions, they can offer valuable insights.",0.15338781476020813,0.011262523010373116,0.8353496789932251,neutral,2026-01-27
"Apple’s New AirTag Improves Range, Sound, and Item Sharing",https://news.macgasm.net/apple-inc-news/airtag-update-2026/,2026-01-27 14:57:14,"Apple has announced a new AirTag, its first update since 2021, focusing on internal improvements rather than a visual redesign. The updated AirTag features a second-generation Ultra Wideband chip for 50% extended Precision Finding range, a 50% louder speaker with redesigned alerts, and a new ""Share Item Location"" feature allowing up to five people to track an item. Despite these enhancements, the pricing remains the same at $29 for a single unit and $99 for a four-pack, with orders open since January 26.",Macgasm,AAPL,0.2492232583463192,2026-01-27 20:04:56.545358,"Apple’s New AirTag Improves Range, Sound, and Item Sharing Apple has announced a new AirTag, its first update since 2021, focusing on internal improvements rather than a visual redesign. The updated AirTag features a second-generation Ultra Wideband chip for 50% extended Precision Finding range, a 50% louder speaker with redesigned alerts, and a new ""Share Item Location"" feature allowing up to five people to track an item. Despite these enhancements, the pricing remains the same at $29 for a single unit and $99 for a four-pack, with orders open since January 26.",0.2606183886528015,0.011395130306482315,0.7279865145683289,neutral,2026-01-27
NYSE Content Advisory: Pre-Market update + Block Exceeds $200 Billion in Credit Provided to Its Users,https://investingnews.com/nyse-content-advisory-pre-market-update-block-exceeds-200-billion-in-credit-provided-to-its-users/,2026-01-27 14:18:15,"The NYSE provided a pre-market update on January 27, 2026, noting that U.S. equities are higher as earnings season progresses, with Boeing and Northrop Grumman reporting and Apple and Meta expected later in the week. Additionally, Block announced it has extended over $200 billion in credit to its users through Cash App Borrow, Afterpay, and Square Loans, with further discussion anticipated on NYSE Live. IAB CEO David Cohen also joined from the NYSE floor to mark the group's 30th anniversary.",Investing News Network,AAPL,0.6953794239088893,2026-01-27 20:04:56.545360,"NYSE Content Advisory: Pre-Market update + Block Exceeds $200 Billion in Credit Provided to Its Users The NYSE provided a pre-market update on January 27, 2026, noting that U.S. equities are higher as earnings season progresses, with Boeing and Northrop Grumman reporting and Apple and Meta expected later in the week. Additionally, Block announced it has extended over $200 billion in credit to its users through Cash App Borrow, Afterpay, and Square Loans, with further discussion anticipated on NYSE Live. IAB CEO David Cohen also joined from the NYSE floor to mark the group's 30th anniversary.",0.7087244391441345,0.013345015235245228,0.2779305577278137,positive,2026-01-27
Is iShares ESG Aware MSCI USA ETF (ESGU) a Strong ETF Right Now?,https://www.sharewise.com/us/news_articles/Is_iShares_ESG_Aware_MSCI_USA_ETF_ESGU_a_Strong_ETF_Right_Now_Zacks_20260127_1220,2026-01-27 13:29:05,"The iShares ESG Aware MSCI USA ETF (ESGU) is a smart beta ETF launched in December 2016, offering broad exposure to All Cap Growth stocks with positive environmental, social, and governance characteristics. Sponsored by Blackrock, it has over $15.98 billion in assets and a low expense ratio of 0.15%. ESGU is heavily allocated to Information Technology, with top holdings including Nvidia, Apple, and Microsoft, and has shown a 13.98% return over the last 12 months.",www.sharewise.com,AAPL,0.564396929461509,2026-01-27 20:04:56.545363,"Is iShares ESG Aware MSCI USA ETF (ESGU) a Strong ETF Right Now? The iShares ESG Aware MSCI USA ETF (ESGU) is a smart beta ETF launched in December 2016, offering broad exposure to All Cap Growth stocks with positive environmental, social, and governance characteristics. Sponsored by Blackrock, it has over $15.98 billion in assets and a low expense ratio of 0.15%. ESGU is heavily allocated to Information Technology, with top holdings including Nvidia, Apple, and Microsoft, and has shown a 13.98% return over the last 12 months.",0.5721449851989746,0.00774805573746562,0.42010697722435,positive,2026-01-27
"Apple Set To Unveil Something 'Very Impressive' This Spring, Says Fitz-Gerald CIO: 'Reminds...Of The Lead-Up To The iPhone'",https://www.benzinga.com/markets/tech/26/01/50151810/apple-set-to-unveil-something-very-impressive-this-spring-says-fitz-gerald-cio-reminds-of-the-lead-up-to-the-iphone,2026-01-27 12:26:53,"Fitz-Gerald Group CIO Keith Fitz-Gerald anticipates a ""very impressive"" AI-related product launch from Apple this spring, drawing parallels to the hype before the original iPhone. He believes Apple is not behind in AI and expects a significant developers' conference announcement that could redefine device form factors. Despite rising memory costs, Apple's stock performs well due to strong iPhone demand and a raised price target from JPMorgan.",Benzinga,AAPL,0.9325567744672298,2026-01-27 20:04:56.545364,"Apple Set To Unveil Something 'Very Impressive' This Spring, Says Fitz-Gerald CIO: 'Reminds...Of The Lead-Up To The iPhone' Fitz-Gerald Group CIO Keith Fitz-Gerald anticipates a ""very impressive"" AI-related product launch from Apple this spring, drawing parallels to the hype before the original iPhone. He believes Apple is not behind in AI and expects a significant developers' conference announcement that could redefine device form factors. Despite rising memory costs, Apple's stock performs well due to strong iPhone demand and a raised price target from JPMorgan.",0.9506564736366272,0.018099699169397354,0.031243830919265747,positive,2026-01-27
The Trillion-Dollar Tightrope: Apple Faces 'Extreme Expectations' Ahead of Landmark 2026 Earnings,https://markets.financialcontent.com/stocks/article/marketminute-2026-1-27-the-trillion-dollar-tightrope-apple-faces-extreme-expectations-ahead-of-landmark-2026-earnings,2026-01-27 11:43:00,"Apple Inc. (AAPL) is gearing up to release its Q1 2026 fiscal results, with analysts projecting record-breaking revenue of $138.5 billion driven by the ""iPhone 17 Supercycle"" and Apple Intelligence. Despite high expectations and a rich 31x forward P/E multiple, concerns linger about whether the AI-driven narrative has peaked, especially as the company faces regulatory scrutiny and shifting supply chain dynamics. Investors will be keenly watching the growth of Apple's Services division and any insights into the ""iPhone Air"" inventory to gauge the company's ability to convert AI hype into tangible sales.",FinancialContent,AAPL,0.1335020363330841,2026-01-27 20:04:56.545365,"The Trillion-Dollar Tightrope: Apple Faces 'Extreme Expectations' Ahead of Landmark 2026 Earnings Apple Inc. (AAPL) is gearing up to release its Q1 2026 fiscal results, with analysts projecting record-breaking revenue of $138.5 billion driven by the ""iPhone 17 Supercycle"" and Apple Intelligence. Despite high expectations and a rich 31x forward P/E multiple, concerns linger about whether the AI-driven narrative has peaked, especially as the company faces regulatory scrutiny and shifting supply chain dynamics. Investors will be keenly watching the growth of Apple's Services division and any insights into the ""iPhone Air"" inventory to gauge the company's ability to convert AI hype into tangible sales.",0.41323864459991455,0.27973660826683044,0.3070247173309326,positive,2026-01-27
